Month,Year,AvgTemp
January,1900,46.1768
February,1900,47.552
March,1900,53.9654
April,1900,52.529
May,1900,62.753
June,1900,70.3562
July,1900,74.5538
August,1900,70.1996
September,1900,64.6628
October,1900,57.6752
November,1900,52.5542
December,1900,44.5622
January,1901,42.2888
February,1901,45.8906
March,1901,50.7434
April,1901,52.8314
May,1901,60.6866
June,1901,67.2476
July,1901,74.6456
August,1901,74.5736
September,1901,65.4782
October,1901,61.1906
November,1901,52.6172
December,1901,44.8466
January,1902,41.5814
February,1902,47.2154
March,1902,46.7312
April,1902,53.8304
May,1902,59.5112
June,1902,69.6272
July,1902,72.41
August,1902,72.1616
September,1902,69.2996
October,1902,58.5824
November,1902,47.6384
December,1902,42.89
January,1903,42.6992
February,1903,39.8228
March,1903,48.326
April,1903,52.7054
May,1903,61.5092
June,1903,70.1492
July,1903,71.3318
August,1903,73.364
September,1903,67.685
October,1903,61.259
November,1903,51.9818
December,1903,43.7126
January,1904,41.5976
February,1904,46.4324
March,1904,49.2296
April,1904,54.824
May,1904,63.8258
June,1904,69.9242
July,1904,72.7718
August,1904,74.5646
September,1904,69.2636
October,1904,59.1026
November,1904,52.4354
December,1904,43.6946
January,1905,45.5252
February,1905,47.4116
March,1905,52.1258
April,1905,55.5494
May,1905,58.0784
June,1905,66.929
July,1905,74.5214
August,1905,73.4558
September,1905,67.7156
October,1905,58.118
November,1905,48.8426
December,1905,40.955
January,1906,43.7972
February,1906,49.2548
March,1906,48.9236
April,1906,54.3308
May,1906,59.1728
June,1906,66.5114
July,1906,77.0666
August,1906,73.967
September,1906,68.0162
October,1906,60.7694
November,1906,48.326
December,1906,44.3678
January,1907,40.559
February,1907,51.0332
March,1907,47.4278
April,1907,56.5916
May,1907,60.0314
June,1907,65.2802
July,1907,73.1174
August,1907,71.3966
September,1907,65.6528
October,1907,60.2762
November,1907,50.801
December,1907,45.1148
January,1908,44.1014
February,1908,44.4578
March,1908,50.1926
April,1908,56.8436
May,1908,57.3188
June,1908,65.4566
July,1908,76.5014
August,1908,73.544
September,1908,67.694
October,1908,56.1452
November,1908,50.4194
December,1908,40.775
January,1909,45.4514
February,1909,44.663
March,1909,47.0732
April,1909,55.8698
May,1909,59.3528
June,1909,68.4194
July,1909,71.9942
August,1909,73.0436
September,1909,67.685
October,1909,58.6706
November,1909,49.1486
December,1909,39.8372
January,1910,39.47
February,1910,43.7396
March,1910,53.3624
April,1910,58.3772
May,1910,64.778
June,1910,67.3916
July,1910,74.7482
August,1910,73.319
September,1910,67.784
October,1910,60.5102
November,1910,50.4518
December,1910,45.4928
January,1911,43.5542
February,1911,41.1206
March,1911,51.4238
April,1911,53.0564
May,1911,58.1252
June,1911,67.2908
July,1911,74.5916
August,1911,71.393
September,1911,64.6628
October,1911,57.6392
November,1911,48.9794
December,1911,40.4996
January,1912,44.1788
February,1912,47.579
March,1912,46.6412
April,1912,50.3528
May,1912,60.2294
June,1912,67.8326
July,1912,71.4056
August,1912,70.6712
September,1912,66.038
October,1912,55.5026
November,1912,50.2376
December,1912,41.7344
January,1913,38.939
February,1913,44.1284
March,1913,47.264
April,1913,53.6792
May,1913,61.1402
June,1913,65.7842
July,1913,72.9014
August,1913,74.5844
September,1913,69.8378
October,1913,59.9306
November,1913,50.4158
December,1913,42.1682
January,1914,44.402
February,1914,46.3694
March,1914,53.735
April,1914,55.3082
May,1914,62.0168
June,1914,66.803
July,1914,73.2254
August,1914,73.3946
September,1914,66.4394
October,1914,59.2898
November,1914,52.322
December,1914,39.3008
January,1915,41.8892
February,1915,45.122
March,1915,51.674
April,1915,55.1372
May,1915,57.6968
June,1915,67.7804
July,1915,73.0274
August,1915,74.8022
September,1915,66.5294
October,1915,60.4706
November,1915,49.046
December,1915,43.4372
January,1916,38.3234
February,1916,48.5456
March,1916,52.511
April,1916,56.39
May,1916,58.6814
June,1916,66.7688
July,1916,72.3596
August,1916,71.5622
September,1916,67.1486
October,1916,54.302
November,1916,46.5242
December,1916,39.4556
January,1917,37.517
February,1917,43.9448
March,1917,44.7602
April,1917,52.2302
May,1917,56.48
June,1917,69.3644
July,1917,76.9154
August,1917,73.8752
September,1917,68.972
October,1917,62.528
November,1917,51.6758
December,1917,46.9202
January,1918,43.5308
February,1918,44.3948
March,1918,49.7966
April,1918,54.7862
May,1918,58.1036
June,1918,73.7294
July,1918,72.7772
August,1918,72.302
September,1918,68.2646
October,1918,60.9782
November,1918,47.8292
December,1918,40.7516
January,1919,43.0214
February,1919,42.6722
March,1919,46.7096
April,1919,55.598
May,1919,62.9888
June,1919,68.3114
July,1919,74.84
August,1919,73.8806
September,1919,67.361
October,1919,54.9104
November,1919,47.8238
December,1919,42.2078
January,1920,44.6864
February,1920,46.0058
March,1920,46.7024
April,1920,52.403
May,1920,61.0088
June,1920,67.5194
July,1920,72.8348
August,1920,74.0372
September,1920,66.3746
October,1920,54.8942
November,1920,48.335
December,1920,42.0278
January,1921,41.504
February,1921,46.6754
March,1921,51.6056
April,1921,52.9286
May,1921,57.83
June,1921,69.1052
July,1921,75.2774
August,1921,72.7628
September,1921,67.0496
October,1921,60.872
November,1921,51.4796
December,1921,45.3002
January,1922,37.9094
February,1922,42.1916
March,1922,45.887
April,1922,50.8388
May,1922,61.5758
June,1922,69.9098
July,1922,75.5582
August,1922,72.7286
September,1922,71.4056
October,1922,58.3376
November,1922,46.607
December,1922,44.3138
January,1923,42.7082
February,1923,44.1554
March,1923,49.9784
April,1923,52.8818
May,1923,61.5362
June,1923,63.4766
July,1923,73.0508
August,1923,72.3974
September,1923,68.9252
October,1923,57.7076
November,1923,52.3418
December,1923,42.1196
January,1924,41.1512
February,1924,50.3852
March,1924,46.8482
April,1924,54.9302
May,1924,65.1542
June,1924,70.0466
July,1924,73.2506
August,1924,72.5108
September,1924,68.5292
October,1924,56.03
November,1924,49.8182
December,1924,40.4618
January,1925,43.367
February,1925,48.2342
March,1925,50.6732
April,1925,54.7196
May,1925,62.2706
June,1925,68.6174
July,1925,75.5906
August,1925,71.4596
September,1925,64.436
October,1925,57.0632
November,1925,48.6158
December,1925,45.4496
January,1926,42.0548
February,1926,48.299
March,1926,54.32
April,1926,58.7534
May,1926,62.9546
June,1926,72.1022
July,1926,75.0722
August,1926,73.3244
September,1926,65.6582
October,1926,60.746
November,1926,54.0554
