FIRE_NAME,LATITUDE,LONGITUDE,FIRE_SIZE,FIRE_YEAR,START_DATE,END_DATE,STATE,COUNTY,OWNER_DESCR,STAT_CAUSE_DESCR
Lilac,32.7174,-117.1628,4100,2017,12/7/2017,12/13/2017,CA,San Diego,N/A,N/A
Skirball,34.0549,-118.2445,422,2017,12/6/2017,12/11/2017,CA,Los Angeles,N/A,N/A
CREEK,34.0549,-118.2445,15619,2017,12/5/2017,12/15/2017,CA,Los Angeles,LOCAL,UNDER INVESTIGATION
RYE,34.3917,-118.5426,6049,2017,12/5/2017,12/12/2017,CA,Los Angeles,N/A,N/A
THOMAS,34.2783,-119.2932,238500,2017,12/4/2017,12/15/2017,CA,Ventura,CC,UNDER
CHRIS,37.6433,-118.9669,370,2017,11/13/2017,11/16/2017,CA,Mono,USFS,UNDER INVESTIGATION
WILDOMAR,33.9534,-117.3962,866,2017,10/26/2017,11/1/2017,CA,Riverside,USFS,UNDER INVESTIGATION
BEAR,37.0513,-122.0733,391,2017,10/16/2017,10/29/2017,CA,Santa Cruz,CAL FIRE,ARSON
CENTRAL LNU COMPLEX,38.2931,-122.4577,110720,2017,10/9/2017,10/31/2017,CA,Sonoma,CAL FIRE,UNDER INVESTIGATION
SOUTHERN LNU COMPLEX,38.2971,-122.2856,51624,2017,10/9/2017,10/28/2017,CA,NAPA,CAL FIRE,UNDER INVESTIGATION
MENDOCINO LAKE COMPLEX,39.4096,-123.3556,38730,2017,10/9/2017,10/26/2017,CA,Mendocino,CAL FIRE,UNDER INVESTIGATION
CANYON 2,33.6469,-117.686,9217,2017,10/9/2017,10/17/2017,CA,Orange,CC,UNDER INVESTIGATION
THIRTY SEVEN,38.2931,-122.4577,1660,2017,10/9/2017,10/12/2017,CA,Sonoma,CAL FIRE,UNDER INVESTIGATION
CHEROKEE,39.7596,-121.622,8500,2017,10/8/2017,11/5/2017,CA,Butte,CAL FIRE,ELECTRICAL POWER
CANYON,33.6469,-117.686,2662,2017,9/30/2017,10/3/2017,CA,Orange,CC,UNDER INVESTIGATION
RUCKER,34.4221,-119.7027,444,2017,9/29/2017,10/4/2017,CA,Santa Barbara,LOCAL,HUMAN
LION,36.1427,-118.6093,19215,2017,9/24/2017,11/27/2017,CA,Tulare,USFS,LIGHTNING
EASTMAN,37.0191,-120.0669,483,2017,9/18/2017,9/19/2017,CA,Madera,CAL FIRE,ELECTRICAL POWER
BUCK,40.5543,-123.1831,13434,2017,9/12/2017,11/5/2017,CA,Trinity,USFS,LIGHTNING
BERRY,40.68,-122.3627,995,2017,9/12/2017,9/26/2017,CA,Shasta,CAL FIRE,LIGHTNING
TABLE,38.6946,-120.815,426,2017,9/8/2017,10/17/2017,CA,El Dorado,USFS,UNDER INVESTIGATION
EUREKA,39.9341,-120.8981,437,2017,9/5/2017,10/31/2017,CA,Plumas,USFS,LIGHTNING
CREEK,37.9608,-120.2375,1749,2017,9/3/2017,11/20/2017,CA,Tuolumne,USFS,LIGHTNING
MISSION,37.0191,-120.0669,1037,2017,9/3/2017,9/13/2017,CA,Madera,CAL FIRE,ELECTRICAL POWER
PEAK,37.0191,-120.0669,680,2017,9/3/2017,9/9/2017,CA,Madera,CAL FIRE,VEHICLE
PALMER,33.9534,-117.3962,3800,2017,9/2/2017,9/9/2017,CA,Riverside,CAL FIRE,PLAYING WITH FIRE
LA TUNA,34.0549,-118.2445,7194,2017,9/1/2017,9/8/2017,CA,Los Angeles,LOCAL,UNDER INVESTIGATION
CALDWELL,35.3739,-119.0195,1319,2017,9/1/2017,9/6/2017,CA,Kern,USFS,LIGHTNING
HELENA,40.5543,-123.1831,21449,2017,8/30/2017,10/19/2017,CA,Trinity,USFS,HUMAN
PIER,36.1427,-118.6093,36556,2017,8/29/2017,9/24/2017,CA,Tulare,USFS,HUMAN
RAILROAD,37.0191,-120.0669,12407,2017,8/29/2017,9/15/2017,CA,Madera,USFS,UNDER INVESTIGATION
SLINKARD,37.6433,-118.9669,8925,2017,8/29/2017,9/11/2017,CA,Mono,BLM,LIGHTNING
PONDEROSA,39.7596,-121.622,4016,2017,8/29/2017,9/9/2017,CA,Butte,CAL FIRE,HUMAN
MUD,40.4163,-120.6531,6042,2017,8/29/2017,9/1/2017,CA,Lassen,BLM,LIGHTNING
BOLES,41.4871,-120.5424,371,2017,8/23/2017,9/4/2017,CA,Modoc,USFS,LIGHTNING
