SOURCE_REPORTING_UNIT_NAME,FIRE_NAME,FIRE_YEAR,DISCOVERY_DATE,STAT_CAUSE_DESCR,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,LATITUDE,LONGITUDE,Locations_Address,OWNER_CODE,OWNER_DESCR,STATE,County
Eldorado National Forest,POWER,2004,2453280,Equipment Use,2453300,295,1000,16823,38.5233,-120.212,"Pioneer, CA 95666, USA",5,USFS,CA,Amador
Eldorado National Forest,FREDS,2004,2453290,Equipment Use,2453300,291,1800,7700,38.78,-120.26,"14513 Lincoln Hwy, Kyburz, CA 95720, USA",5,USFS,CA,El Dorado
Sequoia National Forest,NINE,2005,2453560,Miscellaneous,2453560,191,1800,1149,35.6881,-118.438,"Unnamed Road, Kernville, CA 93238, USA",5,USFS,CA,
Mendocino National Forest,CLOVER,2005,2453630,Miscellaneous,2453630,261,1800,775,39.1697,-122.887,"Upper Lake, CA 95485, USA",14,MISSING/NOT SPECIFIED,CA,
Angeles National Forest,MUNZ,2005,2453550,Miscellaneous,2453550,178,2130,800,34.6831,-118.389,"43920 Munz Ranch Rd, Lake Hughes, CA 93532, USA",14,MISSING/NOT SPECIFIED,CA,
Tahoe National Forest,HARDING,2005,2453610,Miscellaneous,2453620,252,1300,2270,39.6122,-120.352,"Sierraville, CA 96126, USA",5,USFS,CA,
Klamath National Forest,WOOLEY,2005,2453630,Miscellaneous,2453630,264,1900,3225,41.4997,-123.276,"Siskiyou County, CA, USA",5,USFS,CA,
Sequoia National Forest,CRAG,2005,2453580,Lightning,2453660,288,1600,1185,35.0933,-118.206,"Mojave, CA 93501, USA",5,USFS,CA,
Angeles National Forest,ANGELES,2005,2453570,Debris Burning,2453570,195,2030,530,34.5019,-118.114,"34110 Angeles Forest Hwy, Palmdale, CA 93550, USA",14,MISSING/NOT SPECIFIED,CA,
Shasta-Trinity National Forest,BAGLEY,2005,2453690,Lightning,2453700,331,1800,438,40.985,-122.018,"Shasta County, CA, USA",13,STATE OR PRIVATE,CA,
Inyo National Forest,GOODALE,2006,2453910,Lightning,2453920,181,800,3747.1,36.9764,-118.264,"Independence, CA 93526, USA",14,MISSING/NOT SPECIFIED,CA,Inyo
Humboldt-Toiyabe National Forest,JACKASS,2006,2453930,Lightning,2453940,202,1800,6255,38.5517,-119.359,"Coleville, CA 96107, USA",5,USFS,CA,Mono
Klamath National Forest,RUSH,2006,2453940,Lightning,2454050,317,1800,4850,41.1033,-123.037,"Siskiyou County, CA, USA",5,USFS,CA,Siskiyou
Los Padres National Forest,ARCO,2006,2453930,Miscellaneous,2453930,193,1800,689.09,34.8903,-118.913,"5500 Digier Rd, Lebec, CA 93243, USA",13,STATE OR PRIVATE,CA,Kern
Los Padres National Forest,RIDGE,2006,2453940,Lightning,2453950,212,2000,2418,34.9008,-119.279,"Kern County, CA, USA",5,USFS,CA,Kern
Los Padres National Forest,STONEY,2006,2453910,Equipment Use,2453910,177,2000,600,35.9819,-121.302,"Monterey County, CA, USA",6,OTHER FEDERAL,CA,Monterey
San Bernardino National Forest,ARRASTRE,2006,2453900,Lightning,2453900,164,1800,361,34.2525,-116.747,"Big Bear, CA 92314, USA",5,USFS,CA,San Bernardino
San Bernardino National Forest,PLUNGE,2006,2453760,Campfire,2453760,26,1800,485,34.2,-117.135,"7 Holly Dr, Running Springs, CA 92382, USA",5,USFS,CA,San Bernardino
Shasta-Trinity National Forest,HOTLUM,2006,2453790,Debris Burning,2453800,63,1800,2815,41.4678,-122.333,"HAMMOND RANCH, CA 96094, USA",5,USFS,CA,Siskiyou
Modoc National Forest,HIGH,2006,2453910,Lightning,2453930,196,1200,1049,41.4692,-121.335,"Modoc County, CA, USA",5,USFS,CA,Modoc
Modoc National Forest,CRYSTAL,2006,2453910,Lightning,2453910,178,1200,461,41.4514,-121.351,"Modoc County, CA, USA",5,USFS,CA,Modoc
Angeles National Forest,CROSS,2006,2453980,Arson,2453980,243,1800,645,34.3781,-118.439,"19166 Placerita Canyon Rd, Santa Clarita, CA 91321, USA",5,USFS,CA,Los Angeles
Humboldt-Toiyabe National Forest,BALLS CANYON,2006,2453910,Lightning,2453980,244,1800,1805,39.6619,-120.083,"Chilcoot, CA 96105, USA",13,STATE OR PRIVATE,CA,Sierra
Cleveland National Forest,SIERRA,2006,2453770,Miscellaneous,2453770,37,428,10584,33.8519,-117.65,"Corona, CA 92882, USA",5,USFS,CA,Orange
Plumas National Forest,GREASE,2006,2453930,Miscellaneous,2453950,212,1900,366,40.0169,-120.382,"Plumas County, CA, USA",5,USFS,CA,Plumas
Cleveland National Forest,HORSE,2006,2453940,Campfire,2453950,210,1800,16677,32.7544,-116.669,"21697 Lyons Valley Rd, Alpine, CA 91901, USA",5,USFS,CA,San Diego
Los Padres National Forest,BALD,2006,2453940,Lightning,2453950,211,1800,1250,34.925,-119.96,"Santa Barbara County, CA, USA",5,USFS,CA,Santa Barbara
Modoc National Forest,CLEAR LAKE,2006,2453950,Lightning,2453960,226,1700,526,41.9842,-121.102,"Modoc County, CA, USA",5,USFS,CA,Modoc
Modoc National Forest,BUMP,2006,2453940,Lightning,2453960,223,1200,524,41.8183,-121.051,"Modoc County, CA, USA",5,USFS,CA,Modoc
Modoc National Forest,SAGE,2006,2453940,Lightning,2453940,209,1636,4871,41.6858,-120.518,"Modoc County, CA, USA",5,USFS,CA,Modoc
Six Rivers National Forest,SOMES,2006,2453940,Lightning,2454030,291,1800,15710,41.315,-123.497,"Humboldt County, CA, USA",5,USFS,CA,Humboldt
Mendocino National Forest,HARVEY,2006,2453910,Lightning,,,,1247,40.0589,-122.908,"California, USA",5,USFS,CA,Tehama
San Bernardino National Forest,PINNACLES,2006,2454000,Arson,2454000,268,1800,2750,34.2844,-117.213,"1898-1738 N Grass Valley Rd, Lake Arrowhead, CA 92352, USA",5,USFS,CA,San Bernardino
Tahoe National Forest,RALSTON,2006,2453980,Miscellaneous,2453980,248,1628,8422,39.0167,-120.703,"Foresthill, CA 95631, USA",13,STATE OR PRIVATE,CA,Placer
Mendocino National Forest,HUNTER,2006,2453940,Lightning,2453990,250,1800,16296,39.6606,-122.862,"Glenn County, CA, USA",5,USFS,CA,Mendocino
Tahoe National Forest,BASSETTS,2006,2454000,Miscellaneous,2454020,284,1800,2114,39.6169,-120.602,"Gold Lake Hwy, Calpine, CA 96124, USA",5,USFS,CA,Sierra
Six Rivers National Forest,HANCOCK,2006,2453940,Lightning,2454030,296,1800,10770,41.4489,-123.293,"Siskiyou County, CA, USA",5,USFS,CA,Siskiyou
Klamath National Forest,TITUS,2006,2453940,Lightning,,,,5792,41.6028,-123.377,"Siskiyou County, CA, USA",5,USFS,CA,Siskiyou
Los Padres National Forest,DAY,2006,2453980,Debris Burning,2454040,303,1800,162702,34.6322,-118.77,"Castaic, CA 91384, USA",5,USFS,CA,Ventura
Six Rivers National Forest,BUCK,2006,2453940,Lightning,2453960,228,1600,422,41.6356,-123.727,"California, USA",5,USFS,CA,Del Norte
Los Padres National Forest,PERKINS,2006,2453910,Miscellaneous,2453940,201,1800,14988,34.9436,-119.687,"4772 Cebrian Ave, New Cuyama, CA 93254, USA",14,MISSING/NOT SPECIFIED,CA,Santa Barbara
Mendocino National Forest,KINGSLEY,2006,2453940,Lightning,2453960,221,1800,6854,40.0378,-122.941,"California, USA",5,USFS,CA,Tehama
Plumas National Forest,HUNGRY,2006,2453910,Lightning,2453930,193,1800,512,40.1536,-120.643,"Taylorsville, CA 95983, USA",5,USFS,CA,Plumas
Los Padres National Forest,SCOTT,2006,2453940,Lightning,2453950,213,1800,600,34.8486,-118.985,"Los Padres National Forest, Goleta, CA, USA",5,USFS,CA,Kern
Shasta-Trinity National Forest,LAKIN,2006,2453940,Lightning,2453950,210,1800,507,41.385,-121.519,"Siskiyou County, CA, USA",5,USFS,CA,Siskiyou
