Fire_Name,County,City,Lat,Lng,Start_Date,End_Date,Agency,Acres,Cause
Town,Mendocino,Willits,39.4096,-123.3556,3/31/2000,4/5/2000,USFS,1500,escape control
Cabbage,Mendocino,Willits,39.4096,-123.3556,4/1/2000,4/1/2000,USFS,1540,?
Franklin,Mendocino,Willits,39.4096,-123.3556,4/2/2000,4/3/2000,USFS,400,na
PNF 151 (Robinson),Lassen,Susanville,40.4163,-120.6531,4/4/2000,4/5/2000,USFS,500,na
Assist (Azusa),Mono,Mammoth Lakes,37.6433,-118.9669,5/29/2000,6/1/2000,USFS,740,Campfire
Elephant,Tulare,Camp Nelson,36.1427,-118.6093,6/1/2000,6/1/2000,CDF,497,Control Burn
Dry,Los Angeles,Los Angeles,34.0549,-118.2445,6/6/2000,6/6/2000,USFS,356,Under Invest.
Calabasas,Ventura,Ventura,34.2783,-119.2932,6/11/2000,6/11/2000,CC,800,Under Invest.
Larkin,Butte,Paradise,39.7596,-121.622,6/13/2000,6/13/2000,CDF,475,Under Invest.
Berryessa,Napa,Napa,38.2971,-122.2856,6/13/2000,6/16/2000,CDF,5731,Equip. Use
Lindsay,Tulare,Camp Nelson,36.1427,-118.6093,6/18/2000,6/18/2000,CDF,400,Arson
Telegraph,Ventura,Ventura,34.2783,-119.2932,6/26/2000,6/26/2000,CC,400,Equip. Use
Telegraph,Ventura,Ventura,34.2783,-119.2932,6/26/2000,6/26/2000,CC,400,Equip. Use
Richgrove,Tulare,Camp Nelson,36.1427,-118.6093,6/28/2000,6/28/2000,CDF,450,Elec. Power
Richgrove,Tulare,Camp Nelson,36.1427,-118.6093,6/28/2000,6/28/2000,CDF,450,Elec. Power
Barrett,San Diego,San Diego,32.7174,-117.1628,6/29/2000,6/30/2000,CDF,2000,Under Invest.
Barrett,San Diego,San Diego,32.7174,-117.1628,6/29/2000,6/30/2000,CDF,2000,Under Invest.
Granite,Mariposa,Yosemite Valley,37.7344,-119.6065,7/2/2000,7/4/2000,CDF,2000,Shooter
Granite,Mariposa,Yosemite Valley,37.7344,-119.6065,7/2/2000,7/4/2000,CDF,2000,Shooter
Citrus,San Bernardino,San Bernardino,34.1083,-117.2898,7/3/2000,7/4/2000,CDF,600,Under Invest.
Citrus,San Bernardino,San Bernardino,34.1083,-117.2898,7/3/2000,7/4/2000,CDF,600,Under Invest.
Assist (Morgan),San Bernardino,San Bernardino,34.1083,-117.2898,7/7/2000,7/8/2000,USFS,300,Under Invest.
Assist (Morgan),San Bernardino,San Bernardino,34.1083,-117.2898,7/7/2000,7/8/2000,USFS,300,Under Invest.
Success,Tulare,Camp Nelson,36.1427,-118.6093,7/9/2000,7/9/2000,CDF,320,Arson
Success,Tulare,Camp Nelson,36.1427,-118.6093,7/9/2000,7/9/2000,CDF,320,Arson
Goat,Lassen,Susanville,40.4163,-120.6531,7/17/2000,7/20/2000,CDF,1084,Campfire
Goat,Lassen,Susanville,40.4163,-120.6531,7/17/2000,7/20/2000,CDF,1084,Campfire
Bark KNF Assist #12,Siskiyou,Yreka,41.7326,-122.6378,7/21/2000,7/26/2000,USFS,1715,Under Invest.
Bark KNF Assist #12,Siskiyou,Yreka,41.7326,-122.6378,7/21/2000,7/26/2000,USFS,1715,Under Invest.
Assist #18 Buckman,San Diego,San Diego,32.7174,-117.1628,7/22/2000,7/22/2000,USFS,300,Under Invest.
Assist #18 Buckman,San Diego,San Diego,32.7174,-117.1628,7/22/2000,7/22/2000,USFS,300,Under Invest.
Shell,San Luis Obispo,San Luis Obispo,35.2828,-120.6597,7/22/2000,7/22/2000,USFS,6300,Under Invest.
Shell,San Luis Obispo,San Luis Obispo,35.2828,-120.6597,7/22/2000,7/22/2000,USFS,6300,Under Invest.
Happy Camp,Inyo,Bishop,37.365,-118.3947,7/23/2000,7/28/2000,BLM,5500,Under Invest.
Happy Camp,Inyo,Bishop,37.365,-118.3947,7/23/2000,7/28/2000,BLM,5500,Under Invest.
Manter,Tulare,Camp Nelson,36.1427,-118.6093,7/24/2000,8/9/2000,USFS,74439,Under Invest.
Manter,Tulare,Camp Nelson,36.1427,-118.6093,7/24/2000,8/9/2000,USFS,74439,Under Invest.
Patterson,Santa Clara,Saratoga,37.2638,-122.0231,7/26/2000,7/27/2000,CDF,432,Undetermined
Patterson,Santa Clara,Saratoga,37.2638,-122.0231,7/26/2000,7/27/2000,CDF,432,Undetermined
Corp. #13,Siskiyou,Yreka,41.7326,-122.6378,7/26/2000,7/26/2000,CDF,813,Railroad
Morgan,Napa,Napa,38.2971,-122.2856,7/26/2000,7/27/2000,CDF,3283,Undetermined
State (Pachenga),Riverside,Riverside,33.9534,-117.3962,7/29/2000,8/9/2000,CDF,11900,Under Invest.
Chance,Tulare,Camp Nelson,36.1427,-118.6093,8/1/2000,8/5/2000,CC,1200,Lightning
Golden II,Mono,Mammoth Lakes,37.6433,-118.9669,8/1/2000,8/8/2000,BLM,2150,Lightning
Peak,Tulare,Camp Nelson,36.1427,-118.6093,8/2/2000,8/4/2000,CC,300,Lightning
Drivers,Placer,Last Chance,39.1113,-120.6247,8/2/2000,8/4/2000,CDF,360,Under Invest.
Winters,Yolo,Yolo,38.7318,-121.8078,8/2/2000,8/2/2000,CDF,380,Undetermined
King,Tulare,Camp Nelson,36.1427,-118.6093,8/2/2000,8/9/2000,CC,3243,Lightning
